Name,City,Region,Applied,Admitted,Enrolled,Acceptance Rate
SANTIAGO HIGH SCHOOL,Garden Grove,Orange,28,6,3,0.21428571428571427
SARATOGA HIGH SCHOOL,Saratoga,Santa Clara,216,31,13,0.14351851851851852
SAVANNA HIGH SCHOOL,Anaheim,Orange,17,5,5,0.29411764705882354
SCARSDALE HIGH SCHOOL,Scarsdale,NY,35,8,4,0.22857142857142856
SCOTTS VALLEY HIGH SCHOOL,Scotts Valley,Santa Cruz,28,5,3,0.17857142857142858
SCRIPPS RANCH HIGH,San Diego,San Diego,99,12,6,0.12121212121212122
SEGERSTROM HIGH SCHOOL,Santa Ana,Orange,36,10,5,0.2777777777777778
SELMA HIGH SCHOOL,Selma,Fresno,25,6,3,0.24
SEMIAHMOO SECONDARY SCHOOL,nan,nan,22,8,4,0.36363636363636365
SENTINEL SECONDARY SCHOOL,nan,nan,15,6,3,0.4
SEOUL INTERNATIONAL SCHOOL,nan,nan,79,30,14,0.379746835443038
SEQUOIA HIGH SCHOOL,Redwood City,San Mateo,88,18,11,0.20454545454545456
SERRA HIGH,San Diego,San Diego,47,6,4,0.1276595744680851
SERRANO HIGH SCHOOL,Phelan,San Bernardino,11,7,3,0.6363636363636364
SEVEN LAKES HIGH SCHOOL,Katy,TX,35,6,3,0.17142857142857143
SHANGHAI FOREIGN LANGUAGE SCHL,nan,nan,79,5,3,0.06329113924050633
SHERMAN OAKS CTR ENRCHED STDS,Reseda,Los Angeles,45,6,6,0.13333333333333333
SHREWSBURY INTERNATIONAL SCHL,nan,nan,13,4,3,0.3076923076923077
SHRI RAM SCHOOL - DLF CAMPUS,nan,nan,32,5,5,0.15625
SIERRA VISTA HIGH SCHOOL,Baldwin Park,Los Angeles,32,10,3,0.3125
SILVER CREEK HIGH SCHOOL,San Jose,Santa Clara,74,9,7,0.12162162162162163
SIMI VALLEY HIGH SCHOOL,Simi Valley,Ventura,40,7,3,0.175
SINGAPORE AMERICAN SCHOOL,nan,nan,82,10,7,0.12195121951219512
SIR FRANCIS DRAKE HIGH SCHOOL,San Anselmo,Marin,54,5,3,0.09259259259259259
SIR WINSTON CHURCHILL HS,nan,nan,10,3,3,0.3
SKYLINE HIGH SCHOOL,Oakland,Alameda,73,13,6,0.1780821917808219
SKYLINE HIGH SCHOOL,Salt Lake City,UT,17,6,3,0.35294117647058826
SKYLINE HIGH SCHOOL,Sammamish,WA,83,5,3,0.060240963855421686
SOAR HIGH SCHOOL,Lancaster,Los Angeles,39,10,6,0.2564102564102564
SONOMA ACADEMY,Santa Rosa,Sonoma,25,3,3,0.12
SOQUEL HIGH SCHOOL,Soquel,Santa Cruz,30,8,5,0.26666666666666666
SOUTH BRUNSWICK HIGH SCHOOL,Monmouth Jct,NJ,44,8,7,0.18181818181818182
SOUTH EAST HIGH SCHOOL,South Gate,Los Angeles,38,12,3,0.3157894736842105
SOUTH EUGENE HIGH SCHOOL,Eugene,OR,17,5,3,0.29411764705882354
SOUTH GATE HIGH SCHOOL,South Gate,Los Angeles,29,8,5,0.27586206896551724
SOUTH HIGH SCHOOL,Bakersfield,Kern,17,11,7,0.6470588235294118
SOUTH HIGH SCHOOL,Torrance,Los Angeles,85,15,4,0.17647058823529413
SOUTH PASADENA HIGH SCHOOL,South Pasadena,Los Angeles,98,23,13,0.23469387755102042
SOUTHWEST HIGH SCHOOL,El Centro,Imperial,23,8,3,0.34782608695652173
STANFORD ONLINE HIGH SCHOOL,Redwood City,San Mateo,36,9,5,0.25
STANTON COLLEGE PREP SCHOOL,Jacksonville,FL,12,5,3,0.4166666666666667
STEELE CANYON HIGH SCHOOL,Spring Valley,San Diego,40,9,6,0.225
STOCKDALE HIGH SCHOOL,Bakersfield,Kern,64,17,4,0.265625
STUYVESANT HIGH SCHOOL,New York,NY,76,20,3,0.2631578947368421
