"Election Name","County Name","Office Name","District Name","Party Name","Candidate Name","Votes","Yes Votes","No Votes","Election Day Votes","ElectionDay Yes Votes","Election Day No Votes","Mail Votes","Mail Yes Votes","Mail No Votes","Provisional Votes","Provisional Yes Votes","Provisional No Votes"
"2012 General Election","CUMBERLAND","President of the United States","StateWide","Libertarian","JOHNSON, GARY","1,191","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","President of the United States","StateWide","Republican","ROMNEY, MITT","57,450","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","President of the United States","StateWide","Democratic","OBAMA, BARACK","64,965","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","President of the United States","StateWide","Green","STEIN, JILL","465","0","0","","","","","","","","",""
"2012 General Election","DAUPHIN","President of the United States","StateWide","Libertarian","JOHNSON, GARY","1,128","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","President of the United States","StateWide","Republican","ROMNEY, MITT","110,853","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","President of the United States","StateWide","Democratic","OBAMA, BARACK","171,792","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","President of the United States","StateWide","Green","STEIN, JILL","917","0","0","","","","","","","","",""
"2012 General Election","DELAWARE","President of the United States","StateWide","Libertarian","JOHNSON, GARY","2,002","0","0","","","","","","","","",""
"2012 General Election","ELK","President of the United States","StateWide","Republican","ROMNEY, MITT","7,579","0","0","","","","","","","","",""
"2012 General Election","ELK","President of the United States","StateWide","Democratic","OBAMA, BARACK","5,463","0","0","","","","","","","","",""
"2012 General Election","ELK","President of the United States","StateWide","Green","STEIN, JILL","79","0","0","","","","","","","","",""
"2012 General Election","ELK","President of the United States","StateWide","Libertarian","JOHNSON, GARY","117","0","0","","","","","","","","",""
"2012 General Election","ERIE","President of the United States","StateWide","Republican","ROMNEY, MITT","49,025","0","0","","","","","","","","",""
"2012 General Election","ERIE","President of the United States","StateWide","Democratic","OBAMA, BARACK","68,036","0","0","","","","","","","","",""
"2012 General Election","ERIE","President of the United States","StateWide","Green","STEIN, JILL","471","0","0","","","","","","","","",""
"2012 General Election","ERIE","President of the United States","StateWide","Libertarian","JOHNSON, GARY","1,087","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","President of the United States","StateWide","Republican","ROMNEY, MITT","26,018","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","President of the United States","StateWide","Democratic","OBAMA, BARACK","21,971","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","President of the United States","StateWide","Green","STEIN, JILL","151","0","0","","","","","","","","",""
"2012 General Election","FAYETTE","President of the United States","StateWide","Libertarian","JOHNSON, GARY","365","0","0","","","","","","","","",""
"2012 General Election","FOREST","President of the United States","StateWide","Republican","ROMNEY, MITT","1,383","0","0","","","","","","","","",""
"2012 General Election","FOREST","President of the United States","StateWide","Democratic","OBAMA, BARACK","896","0","0","","","","","","","","",""
"2012 General Election","FOREST","President of the United States","StateWide","Green","STEIN, JILL","10","0","0","","","","","","","","",""
"2012 General Election","FOREST","President of the United States","StateWide","Libertarian","JOHNSON, GARY","23","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","President of the United States","StateWide","Republican","ROMNEY, MITT","43,260","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","President of the United States","StateWide","Democratic","OBAMA, BARACK","18,995","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","President of the United States","StateWide","Green","STEIN, JILL","252","0","0","","","","","","","","",""
"2012 General Election","FRANKLIN","President of the United States","StateWide","Libertarian","JOHNSON, GARY","571","0","0","","","","","","","","",""
"2012 General Election","FULTON","President of the United States","StateWide","Republican","ROMNEY, MITT","4,814","0","0","","","","","","","","",""
"2012 General Election","FULTON","President of the United States","StateWide","Democratic","OBAMA, BARACK","1,310","0","0","","","","","","","","",""
"2012 General Election","FULTON","President of the United States","StateWide","Green","STEIN, JILL","21","0","0","","","","","","","","",""
"2012 General Election","FULTON","President of the United States","StateWide","Libertarian","JOHNSON, GARY","50","0","0","","","","","","","","",""
"2012 General Election","GREENE","President of the United States","StateWide","Republican","ROMNEY, MITT","8,428","0","0","","","","","","","","",""
"2012 General Election","GREENE","President of the United States","StateWide","Democratic","OBAMA, BARACK","5,852","0","0","","","","","","","","",""
"2012 General Election","GREENE","President of the United States","StateWide","Green","STEIN, JILL","68","0","0","","","","","","","","",""
"2012 General Election","GREENE","President of the United States","StateWide","Libertarian","JOHNSON, GARY","116","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","President of the United States","StateWide","Republican","ROMNEY, MITT","11,979","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","President of the United States","StateWide","Democratic","OBAMA, BARACK","5,409","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","President of the United States","StateWide","Green","STEIN, JILL","116","0","0","","","","","","","","",""
"2012 General Election","HUNTINGDON","President of the United States","StateWide","Libertarian","JOHNSON, GARY","135","0","0","","","","","","","","",""
"2012 General Election","INDIANA","President of the United States","StateWide","Republican","ROMNEY, MITT","21,257","0","0","","","","","","","","",""
"2012 General Election","INDIANA","President of the United States","StateWide","Democratic","OBAMA, BARACK","14,473","0","0","","","","","","","","",""
"2012 General Election","INDIANA","President of the United States","StateWide","Green","STEIN, JILL","206","0","0","","","","","","","","",""
"2012 General Election","INDIANA","President of the United States","StateWide","Libertarian","JOHNSON, GARY","385","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","President of the United States","StateWide","Republican","ROMNEY, MITT","13,048","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","President of the United States","StateWide","Democratic","OBAMA, BARACK","4,787","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","President of the United States","StateWide","Green","STEIN, JILL","89","0","0","","","","","","","","",""
"2012 General Election","JEFFERSON","President of the United States","StateWide","Libertarian","JOHNSON, GARY","173","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","President of the United States","StateWide","Republican","ROMNEY, MITT","6,862","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","President of the United States","StateWide","Democratic","OBAMA, BARACK","2,547","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","President of the United States","StateWide","Green","STEIN, JILL","43","0","0","","","","","","","","",""
"2012 General Election","JUNIATA","President of the United States","StateWide","Libertarian","JOHNSON, GARY","83","0","0","","","","","","","","",""
"2012 General Election","LACKAWANNA","President of the United States","StateWide","Republican","ROMNEY, MITT","35,085","0","0","","","","","","","","",""
"2012 General Election","LACKAWANNA","President of the United States","StateWide","Democratic","OBAMA, BARACK","61,838","0","0","","","","","","","","",""
"2012 General Election","LACKAWANNA","President of the United States","StateWide","Green","STEIN, JILL","349","0","0","","","","","","","","",""
"2012 General Election","LACKAWANNA","President of the United States","StateWide","Libertarian","JOHNSON, GARY","743","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","President of the United States","StateWide","Republican","ROMNEY, MITT","130,669","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","President of the United States","StateWide","Democratic","OBAMA, BARACK","88,481","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","President of the United States","StateWide","Green","STEIN, JILL","759","0","0","","","","","","","","",""
"2012 General Election","LANCASTER","President of the United States","StateWide","Libertarian","JOHNSON, GARY","2,527","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","President of the United States","StateWide","Republican","ROMNEY, MITT","21,047","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","President of the United States","StateWide","Democratic","OBAMA, BARACK","17,513","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","President of the United States","StateWide","Green","STEIN, JILL","142","0","0","","","","","","","","",""
"2012 General Election","LAWRENCE","President of the United States","StateWide","Libertarian","JOHNSON, GARY","334","0","0","","","","","","","","",""
"2012 General Election","LEBANON","President of the United States","StateWide","Republican","ROMNEY, MITT","35,872","0","0","","","","","","","","",""
"2012 General Election","LEBANON","President of the United States","StateWide","Democratic","OBAMA, BARACK","19,900","0","0","","","","","","","","",""
"2012 General Election","LEBANON","President of the United States","StateWide","Green","STEIN, JILL","219","0","0","","","","","","","","",""
"2012 General Election","LEBANON","President of the United States","StateWide","Libertarian","JOHNSON, GARY","589","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","President of the United States","StateWide","Republican","ROMNEY, MITT","66,874","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","President of the United States","StateWide","Democratic","OBAMA, BARACK","78,283","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","President of the United States","StateWide","Green","STEIN, JILL","514","0","0","","","","","","","","",""
"2012 General Election","LEHIGH","President of the United States","StateWide","Libertarian","JOHNSON, GARY","1,331","0","0","","","","","","","","",""
